content,ticker
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source boohoo three uk s biggest budget fashion brands change way present environmental impact clothes following action competition regulator asos boohoo george asda signed pledges use accurate clear claims competition markets authority cma said firms said remained committed improving sustainability move part wider move cma greenwashing presenting products eco-friendly without providing information fair customers distorts competition regulator said cma also household products washing liquid soaps sights end last year said wasinvestigating consumer goods giant unileverover whether environmental branding misleading re asking firms put shoes shoppers see whether claim understandable right - accompanied information makes clear means said george lusty interim executive director consumer protection markets cma many fashion brands market specific ranges eco-friendly asos used responsible edit range boohoo sells clothes ready future asda george good future criteria inclusion ranges must clearly set detail minimum requirements cma said really want firms investing products supply chains make greener take credit deserve get competitive edge win sales mr lusty said often words like eco responsible sustainable accompanied adequate information said dr magdalena marchowska-raza lecturer digital marketing salford business school said consumers rightly sceptical eco-marketing claims would need see proof progress convinced addressing challenge requires surface-level transparency calls fundamental shift companies approach sustainability goals - setting actively demonstrating commitment achieving tangible measurable actions said cma s investigation launched july 2022 result legal action fashion firms instead companies made range voluntary commitments report back cma complying commitments include explaining precise percentage fibres used recycled organic avoiding using imagery like green leaf logos suggest product environmentally friendly actually image source asos asos used market range label responsble edit withdrew 2022 asos said voluntary undertakings made three brands would set benchmark industry sharing clear accurate information sustainability credentials fashion products crucial empowering consumers make fully informed choices asos said boohoo said pleased cma s investigation resulted legal action firm adding group intentionally misled customers firm s chief executive john lyttle said remain committed working others find collective solutions shared challenges sustainability within fashion industry asda spokesperson said company pleased mutually agreed voluntary undertakings support measures aimed improving consumers understanding environmental claims said cma alsopublished open letterto fashion industry urging firms review environmental claims ensure comply consumer protection laws geraint lloyd-taylor law firm lewis silkin said voluntary agreement would relief firms involved whilst establishing clearer guidelines future broad lessons companies sectors fact cma singled use leafy green images problematic likely exaggerate environmental benefits product ranges promoted said however cma likely less accommodating future greenwashing rules breached added highlighting new powers cma get allowing impose financial penalties 10 firm s annual global turnover content available ©2024 bbc bbc responsible content external sitesread approach external linking,MMM
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source huw evans agency thomas young cardiff team-mates lie 12th united rugby championship three wins far 2023-24 cardiff announced loss £21m year ending june 2023 decrease deficit £22m previous year financial report comes soon ospreys scarlets detailed losses period ospreys lost £2m scarlets almost £3m report cardiff state returned old days crisis management managing creditors delayed payments cardiff said lack progress regions completing new deal welsh rugby union wru timeframe financial report placed enormous strain company executive team cardiff added situation continued well 2023 reduction funding need reset market become inflated led number high profile players depart club end 2022-23 season regions eventually signeda six-year participation agreement wruin march 2023 however alsorepaying £20m loan negotiated wruas result covid pandemic cardiff s ownership changed hands wake ofthe death long-time chairman benefactor peter thomas march 2023 days wru regions agreed deal thomas remained involved company matters right final days agreeing new rpi setting place plans club passing said cardiff remain enormously grateful peter family support helford capital s takeoverwas completed january 2024 new owners continuing talks arms park landlords aimed securing team s long-term future cardiff signed three-year lease extensionin april 2022 region say little progress terms agreeing new long-term lease cardiff added explored alternative options however everyone s preference intention cardiff rugby remain iconic venue current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season cardiff received £88m governing body year ending june 2023 cardiff increased turnover year ending june 2023 £161m £132m business operating losses £19m £21m region s matchday income fell slightly income sponsorship increased £1m £12m hospitality catering income rose £13m £15m ospreys loss £2m year ending june 2023 increase almost £1m previous year swansea-based team hope funding agreement wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging earlier scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m welsh region dragons set release financial results 2023 end june 2024 ©2024 bbc bbc responsible content external sitesread approach external linking,MMM
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source huw evans agency thomas young cardiff team-mates lie 12th united rugby championship three wins far 2023-24 cardiff announced loss £21m year ending june 2023 decrease deficit £22m previous year financial report comes soon ospreys scarlets detailed losses period ospreys lost £2m scarlets almost £3m report cardiff state returned old days crisis management managing creditors delayed payments cardiff said lack progress regions completing new deal welsh rugby union wru timeframe financial report placed enormous strain company executive team cardiff added situation continued well 2023 reduction funding need reset market become inflated led number high profile players depart club end 2022-23 season regions eventually signeda six-year participation agreement wruin march 2023 however alsorepaying £20m loan negotiated wruas result covid pandemic cardiff s ownership changed hands wake ofthe death long-time chairman benefactor peter thomas march 2023 days wru regions agreed deal thomas remained involved company matters right final days agreeing new rpi setting place plans club passing said cardiff remain enormously grateful peter family support helford capital s takeoverwas completed january 2024 new owners continuing talks arms park landlords aimed securing team s long-term future cardiff signed three-year lease extensionin april 2022 region say little progress terms agreeing new long-term lease cardiff added explored alternative options however everyone s preference intention cardiff rugby remain iconic venue current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season cardiff received £88m governing body year ending june 2023 cardiff increased turnover year ending june 2023 £161m £132m business operating losses £19m £21m region s matchday income fell slightly income sponsorship increased £1m £12m hospitality catering income rose £13m £15m ospreys loss £2m year ending june 2023 increase almost £1m previous year swansea-based team hope funding agreement wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging earlier scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m welsh region dragons set release financial results 2023 end june 2024 ©2024 bbc bbc responsible content external sitesread approach external linking,MMM
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source huw evans agency thomas young cardiff team-mates lie 12th united rugby championship three wins far 2023-24 cardiff announced loss £21m year ending june 2023 decrease deficit £22m previous year financial report comes soon ospreys scarlets detailed losses period ospreys lost £2m scarlets almost £3m report cardiff state returned old days crisis management managing creditors delayed payments cardiff said lack progress regions completing new deal welsh rugby union wru timeframe financial report placed enormous strain company executive team cardiff added situation continued well 2023 reduction funding need reset market become inflated led number high profile players depart club end 2022-23 season regions eventually signeda six-year participation agreement wruin march 2023 however alsorepaying £20m loan negotiated wruas result covid pandemic cardiff s ownership changed hands wake ofthe death long-time chairman benefactor peter thomas march 2023 days wru regions agreed deal thomas remained involved company matters right final days agreeing new rpi setting place plans club passing said cardiff remain enormously grateful peter family support helford capital s takeoverwas completed january 2024 new owners continuing talks arms park landlords aimed securing team s long-term future cardiff signed three-year lease extensionin april 2022 region say little progress terms agreeing new long-term lease cardiff added explored alternative options however everyone s preference intention cardiff rugby remain iconic venue current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season cardiff received £88m governing body year ending june 2023 cardiff increased turnover year ending june 2023 £161m £132m business operating losses £19m £21m region s matchday income fell slightly income sponsorship increased £1m £12m hospitality catering income rose £13m £15m ospreys loss £2m year ending june 2023 increase almost £1m previous year swansea-based team hope funding agreement wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging earlier scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m welsh region dragons set release financial results 2023 end june 2024 ©2024 bbc bbc responsible content external sitesread approach external linking,MMM
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source huw evans agency thomas young cardiff team-mates lie 12th united rugby championship three wins far 2023-24 cardiff announced loss £21m year ending june 2023 decrease deficit £22m previous year financial report comes soon ospreys scarlets detailed losses period ospreys lost £2m scarlets almost £3m report cardiff state returned old days crisis management managing creditors delayed payments cardiff said lack progress regions completing new deal welsh rugby union wru timeframe financial report placed enormous strain company executive team cardiff added situation continued well 2023 reduction funding need reset market become inflated led number high profile players depart club end 2022-23 season regions eventually signeda six-year participation agreement wruin march 2023 however alsorepaying £20m loan negotiated wruas result covid pandemic cardiff s ownership changed hands wake ofthe death long-time chairman benefactor peter thomas march 2023 days wru regions agreed deal thomas remained involved company matters right final days agreeing new rpi setting place plans club passing said cardiff remain enormously grateful peter family support helford capital s takeoverwas completed january 2024 new owners continuing talks arms park landlords aimed securing team s long-term future cardiff signed three-year lease extensionin april 2022 region say little progress terms agreeing new long-term lease cardiff added explored alternative options however everyone s preference intention cardiff rugby remain iconic venue current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season cardiff received £88m governing body year ending june 2023 cardiff increased turnover year ending june 2023 £161m £132m business operating losses £19m £21m region s matchday income fell slightly income sponsorship increased £1m £12m hospitality catering income rose £13m £15m ospreys loss £2m year ending june 2023 increase almost £1m previous year swansea-based team hope funding agreement wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging earlier scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m welsh region dragons set release financial results 2023 end june 2024 ©2024 bbc bbc responsible content external sitesread approach external linking,MMM
last updated on28 march 202428 march 2024from sectionrugby union ospreys announced loss £2m year ending june 2023 increase almost £1m previous year news comes days fellow welsh region scarlets confirmed losses almost £3m period ospreys hope funding agreement welsh rugby union wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging ospreys comments made notes accompanying accounts filed companies house earlier week scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season four regions alsorepaying £20m loan negotiated wruas result covid pandemic struck six-year participation agreement wruin march 2023 ospreys received £695m governing body year ending june 2023 however central funding reduced £52m current campaign - drop £45m 2024-25 ospreys said agreement enables us certainty visibility funding cash flows swansea-based region manage increase turnover year ending june 2023 £100000 still saw losses increase 82 £118m £215m costs outgoings rose income boosted increased sponsorship gate receipt revenue region blamed cost living crisis crowds remaining low accounts show owners y11 sports media contributed £2m funding year -compared around £1m previous set accounts - repayment loans worth £377000 welsh regions cardiff rugby - made £22m loss last accounts - dragons due release financial results 2023 end june get latest scores headlines sent straight phone sign-up newsletter learn find us online get rugby union - get social team game brings people together,MMM
last updated on28 march 202428 march 2024from sectionrugby union ospreys announced loss £2m year ending june 2023 increase almost £1m previous year news comes days fellow welsh region scarlets confirmed losses almost £3m period ospreys hope funding agreement welsh rugby union wru basis long-term survival professional rugby wales added reduced budgets would continue make seasons challenging ospreys comments made notes accompanying accounts filed companies house earlier week scarlets chairman simon muderack called wru toaddress game s financial issues urgently saw losses increase £1m current deal wru scarlets dragons cardiff ospreys team receive £45m central funding 2024-25 £52m season four regions alsorepaying £20m loan negotiated wruas result covid pandemic struck six-year participation agreement wruin march 2023 ospreys received £695m governing body year ending june 2023 however central funding reduced £52m current campaign - drop £45m 2024-25 ospreys said agreement enables us certainty visibility funding cash flows swansea-based region manage increase turnover year ending june 2023 £100000 still saw losses increase 82 £118m £215m costs outgoings rose income boosted increased sponsorship gate receipt revenue region blamed cost living crisis crowds remaining low accounts show owners y11 sports media contributed £2m funding year -compared around £1m previous set accounts - repayment loans worth £377000 welsh regions cardiff rugby - made £22m loss last accounts - dragons due release financial results 2023 end june get latest scores headlines sent straight phone sign-up newsletter learn find us online get rugby union - get social team game brings people together,MMM
ve made important changes privacy cookies policy want know means data partners use technologies ascookies collect browsing data give best online experience personalise content advertising shown please let us know agree settings apply amp pages may asked set preferences visit non-amp bbc pages lightweight mobile page visited built using google amp technology make web pages work store limited information device without consent read essential information store device make web pages work use local storage store consent preferences device consent data collection amp pages consenting allow us display personalised ads relevant outside uk read personalise ads bbc advertising partners choose receive personalised ads clicking “ reject data collection continue ” please note still see advertising personalised change settings clicking “ ad choices sell info ” footer time image source christine mucklestone christine mucklestone thinks pension lost 40 value group former american express staff west sussex said pensions increased 10 years house commons library says pensions payment must increased annually line prices pension rights accrued since april 1997 group former staff said since 1997 pensions increased 2751 - relation pre-1997 portion defined benefits scheme - compared consumer price index rise 676 american express said complies pension obligations current former colleagues indexation capped 5 pension rights accrued april 1997 april 2005 25 rights accrued since law says pensions entitlement earned 1997 annual increase entirely discretionary christine mucklestone worked american express uk 25 years burgess hill resident said proud bunch people always said american express great company work “ would hesitant recommend company ’ disappointed ” david morling shoreham worked company almost 35 years said left feeling alienated abandoned image source david morling david morling says concerns amid cost living crisis said wonder much longer go without turning lights sitting dark ” ms mucklestone thought pension lost 40 value said “ ’ buy buy 10 years ago ” group former staff said pensions seen three annual increases past 21 years 386 645 1010 american express said annually reviews whether discretionary increase awarded respect pre-1997 pensions follow bbc sussex onfacebook onx oninstagram send story ideas southeasttoday bbccouk whatsapp us 08081 002250 content available ©2024 bbc bbc responsible content external sitesread approach external linking,AXP
bbc reporter fueled conspiracy theories aboutprincess kate s whereabouts turned account private following tirade critcism sonja mclaughlan -a sports journalist bbc- made anumber claims princess walesas fans speculated whereabouts cancer announcement one post onsocial media platform x sonja echoed conspiracy theories personprince williamhad spotted shopping windsor shop kate deleted post even claimed could body double william could actor sonja since turned social media private following harsh backlash kate s shock cancer announcement last friday princess wales made address nation revealed undergoing preventative chemotherapy unspecified form cancer kate s unveiling sonja wrote disturbing newspapers like times reporting fact headline kate seen public first time s clearly someone said could couple lookalikes making mischief commenting video compared princess footage past photos thebbcfreelance journalist added s obviously kate newspaper reporting fact read meghan harry reeling last thing royal family s minds s conspiracy theorist odd thebbcfilmed kate s announcement grounds windsor castle last wednesday princess opened cancer diagnosis kate 42 spoke openly receiving preventative chemotherapy doctors found cancer present abdominal procedure january since princess subject number conspiracy theories online absence sending internet never-ending rabbit hole latest news fans emerged condemn participated fervent speculation social media users taken x formerly known twitter moments following news princess s condition share well wishes royal speaking sadness princess slammed fellow users spread false theories one said crying news added note active trolls said hope trolls feel terrible starting false narrative princess kate prayers health prayers family another said hoped trolls conspiracy theorists would shut someone else similar statement conspiracy theorists branding nasty trolls said nasty trolls ve hounded princess kate ought take look wonder much profit social media firms made ads sold around unpleasant madness use sign-up provide content ways ve consented improve understanding may include adverts us 3rd parties based understanding unsubscribe timemore info search connect us today s paper see today s front back pages download newspaper order back issues use historic daily express newspaper archive expresscouk,AXP
bbc reporter fueled conspiracy theories aboutprincess kate s whereabouts turned account private following tirade critcism sonja mclaughlan -a sports journalist bbc- made anumber claims princess walesas fans speculated whereabouts cancer announcement one post onsocial media platform x sonja echoed conspiracy theories personprince williamhad spotted shopping windsor shop kate deleted post even claimed could body double william could actor sonja since turned social media private following harsh backlash kate s shock cancer announcement last friday princess wales made address nation revealed undergoing preventative chemotherapy unspecified form cancer kate s unveiling sonja wrote disturbing newspapers like times reporting fact headline kate seen public first time s clearly someone said could couple lookalikes making mischief commenting video compared princess footage past photos thebbcfreelance journalist added s obviously kate newspaper reporting fact read meghan harry reeling last thing royal family s minds s conspiracy theorist odd thebbcfilmed kate s announcement grounds windsor castle last wednesday princess opened cancer diagnosis kate 42 spoke openly receiving preventative chemotherapy doctors found cancer present abdominal procedure january since princess subject number conspiracy theories online absence sending internet never-ending rabbit hole latest news fans emerged condemn participated fervent speculation social media users taken x formerly known twitter moments following news princess s condition share well wishes royal speaking sadness princess slammed fellow users spread false theories one said crying news added note active trolls said hope trolls feel terrible starting false narrative princess kate prayers health prayers family another said hoped trolls conspiracy theorists would shut someone else similar statement conspiracy theorists branding nasty trolls said nasty trolls ve hounded princess kate ought take look wonder much profit social media firms made ads sold around unpleasant madness use sign-up provide content ways ve consented improve understanding may include adverts us 3rd parties based understanding unsubscribe timemore info search connect us today s paper see today s front back pages download newspaper order back issues use historic daily express newspaper archive expresscouk,AXP
